partida,escenario_1_robot,escenario_7_robots,escenario_17_robots
Paquetes AMR-FOD-Kitting completos,78500,549500,1334500
Software flota trazabilidad conectores MES ERP,24000,65000,120000
Ingenieria simulacion CoppeliaSim configuracion,46000,126000,245000
Instalacion mapeo pruebas puesta en marcha,20000,60000,135000
Formacion gestion cambio operativo,9500,27000,46000
Mantenimiento preventivo primer anio,6300,44100,106800
Desplazamientos logistica medios auxiliares,5000,20000,40000
Ciberseguridad documentacion aceptacion,7000,18000,36000
Subtotal antes contingencia margen,196300,909600,2063300
Contingencia y margen comercial 12 por ciento,23556,109152,247596
Total CAPEX estimado,219856,1018752,2310896
TCO tres anios estimado,266456,1217952,2766496
