categoria,referencia,precio_publico,moneda,precio_eur_estimado,fuente,uso_en_presupuesto
AMR omnidireccional,Robotnik RB-KAIROS,no publicado,NA,NA,https://robotnik.eu/products/mobile-robots/rb-kairos-2/,Referencia tecnica principal: AMR indoor omnidireccional ROS 2 payload hasta 250 kg
AMR omnidireccional,AGILOX ODM,no publicado,NA,NA,https://www.agilox.net/en/product/agilox-odm/,Alternativa intralogistica omnidireccional payload 300 kg para dollies y small load carriers
AMR 250 kg,MiR250 Base Robot,44284,EUR,44284,https://www.mekosrl.it/product-page/mir250,Benchmark publico de coste/carga para AMR 250 kg; no cinematica final
AMR 250 kg benchmark,Omron LD-250,no publicado,NA,NA,https://robotics.omron.com/products/mobile-robots/ld-series/ld-250/,Benchmark tecnico de carga util seguridad y software de flota
Rango AMR 2026,Mesh Automation AMR cost guide,50000-200000,USD,43000-172000,https://meshautomationinc.com/amr-cost-2026/,Validacion de rango de mercado para AMR con integracion
AMR intralogistico,KNAPP Open Shuttle,45000 desde,EUR,45000,https://www.knapp.com/en/insights/blog/autonomous-mobile-robots-costs-roi-potential-savings/,Contraste europeo de coste inicial AMR
Proyecto AMR 5 vehiculos,DNC Automation AMR cost guide,468000,USD,402480,https://www.dnc-automation.com/agv-and-amr-robot-cost/,Referencia de coste total de proyecto con integracion
Software/fleet,Novus Hi-Tech AGV/AMR cost guide,3000-10000 por robot,USD,2580-8600,https://novushitech.com/agv-amr-cost-guide/,Dimensionamiento software flota
Camara RGB-D,Intel RealSense D435i,334,USD,287,https://store.realsenseai.com/buy-intel-realsense-depth-camera-d435i.html,Vision FOD e IMU auxiliar
LiDAR 2D,Hokuyo UST-10LX,1365,EUR,1365,https://www.roscomponents.com/product/ust-10lx/,Navegacion SLAM y deteccion
Escaner seguridad,SICK microScan3 Core I/O,5695,USD,4898,https://www.doigcorp.com/SICK-microScan-1083078-MICS3-AAAZ40BZ1P01,Seguridad perimetral
RFID fijo,Zebra FX9600,1980.91,USD,1704,https://www.cdw.com/product/zebra-fx9600-fixed-rfid-reader/7341754,Trazabilidad kits y utiles
HMI rugged,Samsung Galaxy Tab Active5,499.99,USD,430,https://image-us.samsung.com/SamsungUS/business/solutions/industries/government/msrp-price-sheets/04072026/Samsung_Galaxy_Tablet_MSRP_Price_File_%28March_2026%29.pdf,HMI operador/supervisor
WiFi industrial,Cisco Catalyst IW9165D,1952.99,USD,1680,https://www.cdw.com/product/cisco-iw9165d-heavy-duty-access-point/7526317,Conectividad industrial
